state,club,website,program_name,program_url,program_type
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rush GK Wars,https://www.alabamarushsoccer.com/rush-gk-wars,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Martin Luther King Day Camp,https://www.alabamarushsoccer.com/martin-luther-king-day-camp,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Spring Break Camp,https://www.alabamarushsoccer.com/spring-break-camp,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Summer Camps,https://www.alabamarushsoccer.com/summer-camps,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Summer Mini's Camps,https://www.alabamarushsoccer.com/summer-mini-s-camps,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Summer Goalkeeper/Striker Camps,https://www.alabamarushsoccer.com/summer-goalkeeper/striker-camps,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Thanksgiving Camp,https://www.alabamarushsoccer.com/thanksgiving-camp,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Dream Center Soccer Clinic,https://www.alabamarushsoccer.com/dream-center-soccer-clinic,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,EYSL Soccer Clinic,https://www.alabamarushsoccer.com/eysl-soccer-clinic,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,College ID Camp,https://www.alabamarushsoccer.com/college-id-camp,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Academy Schedule,https://www.alabamarushsoccer.com/academy-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Rainbow City Practice Schedule,https://www.alabamarushsoccer.com/rbc-practice-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Sand Mountain Practice Schedule,https://www.alabamarushsoccer.com/sm-practice-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Fort Payne Practice Schedule,https://www.alabamarushsoccer.com/fort-payne-practice-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Alabama State League  Schedule,https://www.alabamarushsoccer.com/alabama-state-league-schedule,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Comments / Suggestions,https://www.alabamarushsoccer.com/comments-/-suggestions,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Explore Destinations,https://rushsoccer.com/rush-travel/?utm_source=club&utm_medium=banner&utm_campaign=club_referral,Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/college-advisory-program/,Program
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-development/,Development
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-select/,Competitive
Alabama,Alabama Rush,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-travel,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Field Status,https://www.alabamarushsoccer.com/field-status,Program
