club_id,club_name,conference,age_groups,league,season
5144,LA Krewe Rush ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
5213,Louisiana Fire Soccer Club ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
5145,MSC Lakers ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
5146,Union 10 FC ECNL RL B13,Gulf Coast,B2013,ECNL RL Boys,2025-26
4315,FC United Iowa ECNL RL B13,Heartland,B2008/2007 | B2009 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3486,FC Wichita ECNL RL B13,Heartland,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
373,Gretna Elite Academy ECNL RL B13,Heartland,B2010 | B2013,ECNL RL Boys,2025-26
3615,KC Fusion ECNL RL B13,Heartland,B2008/2007 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
2330,Kansas City Athletics ECNL RL B13,Heartland,B2009 | B2013,ECNL RL Boys,2025-26
3740,Kansas City Surf ECNL RL B13,Heartland,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3696,Kansas Rush ECNL RL B13,Heartland,B2013,ECNL RL Boys,2025-26
1730,Missouri Rush ECNL RL B13,Heartland,B2013,ECNL RL Boys,2025-26
3483,Sporting Iowa ECNL RL B13,Heartland,B2012 | B2013,ECNL RL Boys,2025-26
1726,Sporting Nebraska FC ECNL RL B13,Heartland,B2013,ECNL RL Boys,2025-26
5147,St. Louis Stars ECNL RL B13,Heartland,B2011 | B2013,ECNL RL Boys,2025-26
3480,Union KC Navy ECNL RL B13,Heartland,B2009 | B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4356,Vision Soccer Academy Premier ECNL RL B13,Heartland,B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
18,Alabama FC ECNL RL B13,Mid-America,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
3232,Chattanooga Red Wolves SC ECNL RL B13,Mid-America,B2013,ECNL RL Boys,2025-26
3589,Germantown Legends ECNL RL B13,Mid-America,B2013,ECNL RL Boys,2025-26
2235,Lobos Rush ECNL RL B13,Mid-America,B2013,ECNL RL Boys,2025-26
4327,Mississippi Rush United ECNL RL B13,Mid-America,B2013,ECNL RL Boys,2025-26
1354,Tennessee SC ECNL RL B13,Mid-America,B2008/2007 | B2009 | B2011 | B2013,ECNL RL Boys,2025-26
4565,Tennessee United ECNL RL B13,Mid-America,B2008/2007 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4569,Tupelo FC ECNL RL B13,Mid-America,B2013,ECNL RL Boys,2025-26
2167,Chicago Inter Soccer ECNL RL B13,Midwest,B2012 | B2013,ECNL RL Boys,2025-26
2106,Chicago Magic ECNL RL B13,Midwest,B2008/2007 | B2009 | B2010 | B2013,ECNL RL Boys,2025-26
1797,FC WISCONSIN ECNL RL B13,Midwest,B2013,ECNL RL Boys,2025-26
2257,Indiana Elite FC ECNL RL B13,Midwest,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
67,Minnesota Thunder ECNL RL B13,Midwest,B2013,ECNL RL Boys,2025-26
2017,Rockford Raptors ECNL RL B13,Midwest,B2011 | B2013,ECNL RL Boys,2025-26
893,St Croix Soccer Club ECNL RL B13,Midwest,B2008/2007 | B2009 | B2013,ECNL RL Boys,2025-26
592,Arizona Arsenal ECNL RL B13,Mountain,B2011 | B2013,ECNL RL Boys,2025-26
2232,Arsenal Colorado ECNL RL B13,Mountain,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
1936,CCV Stars ECNL RL B13,Mountain,B2010 | B2013,ECNL RL Boys,2025-26
3639,Colorado EDGE SC ECNL RL B13,Mountain,B2010 | B2013,ECNL RL Boys,2025-26
29,Colorado Rapids North ECNL RL B13,Mountain,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
28,Colorado Rush Academy Blue ECNL RL B13,Mountain,B2013,ECNL RL Boys,2025-26
4368,El Paso Locomotive ECNL RL B13,Mountain,B2008/2007 | B2013,ECNL RL Boys,2025-26
3998,FC Arizona ECNL RL B13,Mountain,B2012 | B2013,ECNL RL Boys,2025-26
1760,La Roca FC ECNL RL B13,Mountain,B2013,ECNL RL Boys,2025-26
1560,NM Rapids ECNL RL B13,Mountain,B2009 | B2012 | B2013,ECNL RL Boys,2025-26
107,NUU Avalanche ECNL RL B13,Mountain,B2008/2007 | B2009 | B2010 | B2013,ECNL RL Boys,2025-26
5137,Playmaker Futbol Academy ECNL RL B13,Mountain,B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2335,Pride SC ECNL RL B13,Mountain,B2009 | B2013,ECNL RL Boys,2025-26
81,Real Colorado Athletico ECNL RL B13,Mountain,B2008/2007 | B2009 | B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
4179,Utah Surf ECNL RL B13,Mountain,B2011 | B2013,ECNL RL Boys,2025-26
