club_name,city,state,league,tier,tier_label,conference,division,gender,source_file
Jonesboro/Arkansas Revolution,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Little Rock Rangers Soccer Club / Little Rock Rangers Academy,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Maumelle SC,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Mighty Bluebirds,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Mountain View Youth Soccer Assoc.,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
North Arkansas,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
NWA Manchester,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Pea Ridge Thunder SC,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
River Valley FC,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Searcy YSA,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Sheridan Youth Soccer,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Sherwood Soccer Club,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Siloam Springs Futbol Club,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Specialized Soccer Academy,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Sporting Arkansas,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Southwest Arkansas Soccer Assoc.,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Texarkana Soccer Club,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Twin Lakes Soccer Association,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Vilonia Soccer Club,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Washington Co. United Soccer,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
White Hall Soccer Association,,AR,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Cal North,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Cal South,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Ajax United,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Alameda Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Almaden FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
American River FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Association Football Club (AFC Oakland),,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Auburn Youth Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
AYSO United SoCal,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Ballistic United Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Bay Area Surf,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Black Oaks Youth Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Breakers FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Burlingame Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
California Odyssey Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
CDA Slammers FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Castro Valley Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
CenCal Cosmos Soccer Club (Now Albion SC Central Valley),,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Chico Cal Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Clovis Crossfire,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Contra Costa Youth Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Crusaders Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Cupertino FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Davis Legacy Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
De Anza Force Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Diablo Valley Futbol Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Dublin United,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
