club_name,city,state,league,tier,tier_label,source
Lehigh Valley United,Bethlehem,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Lionville SC,Exton,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Maple Shade Soccer,Maple Shade,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Marlboro Soccer Association,Marlboro,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Marlton Soccer Club,Marlton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Maryland United FC,Germantown,MD,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Match Fit Academy FC,Kearny,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Match Fit Surf,Brick,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Medford SC,Medford,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Medford Strikers SC,Medford,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Mercer United FC,Hamilton Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Monmouth United Soccer,West Long Branch,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Montgomery Travelers Soccer Club,Belle Mead,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Montgomery United SC,Montgomery,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Mountain Top Youth SA,Mountain Top,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
NESA,Nutley,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
New Jersey Stallions,Clifton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
New York Titans FC,Brooklyn,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
NJ Blaze,Flemington,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
