club,club_id,season,league,region,coast_url
Universal Soccer League,467,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=467
USARMS,476,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=476
Valley Futbol Club,219,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=219
Veritas FC HD,486,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=486
Worldwide SC,942,spring 2026,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2026&SEASON=spring&CLUB=942
#502,502,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=502
1570 FC,242,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=242
805 Union,262,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=262
A1 Since Day1 FC,259,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=259
Alianza Azteca SC,389,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=389
Alliance Indio,412,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=412
Antelope Valley FC,768,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=768
Arena FC,404,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=404
Arete Futbol,287,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=287
Ascend FC,238,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=238
Aspire LASC,292,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=292
Autobahn Soccer Club,915,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=915
AYSO S1 Alliance,417,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=417
Barcelona California SC,703,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=703
Barcelona Santa Paula,901,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=901
Brazil Stars Soccer Club,903,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=903
California Elite SC,756,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=756
California Madrid Elite,469,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=469
California Natives FC,291,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=291
California Stars Soccer,672,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=672
California State SL,101,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=101
California United FC,222,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=222
Califut,286,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=286
Cantera Soccer Academy,228,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=228
CC Dynasty FC,504,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=504
CD Cobras,402,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=402
Central Coast Academy,431,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=431
Central Coast Surf,273,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=273
Central Coast United SC,924,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=924
Champions YSL,258,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=258
Chivas Soccer Academy SM,462,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=462
Club Real Atotonilco,249,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=249
Coachella Valley SL,416,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=416
Colton America SC,666,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=666
Compton United FC,243,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=243
Corona Sharks FC,418,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=418
Coyotes FC,972,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=972
Crusaders FC,498,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=498
CYSA Premier Academy,889,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=889
Desert Communities SC,973,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=973
Desert Empire Surf,934,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=934
Development Academy of CA,234,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=234
Downtown LA Soccer Club,946,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=946
Dynamo LA,281,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=281
Eagles Soccer Club,593,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=593
EDA,430,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=430
ENSO SC,241,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=241
Evolution SC,421,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=421
F.C. Katana,285,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=285
FarWest United,466,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=466
FC California Velocity,918,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=918
FC Deportivo,754,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=754
FC United Academy,906,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=906
FCA Soccer Club,486,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=486
Fontana FC,887,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=887
