team_id,club_id,team_name,club_name,age_group,conference,league,season
117735,5147,St. Louis Stars Pre-ECNL B14,St. Louis Stars Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
117395,3480,Union KC Soccer Club Navy Pre-ECNL B14,Union KC Soccer Club Navy Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
114169,3723,VSA Rush Black Pre-ECNL B14,VSA Rush Black Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
114168,3723,VSA Rush Blue Pre-ECNL B14,VSA Rush Blue Pre-ECNL B14,B2015,Heartland,Pre-ECNL Boys,2025-26
115906,2419,Bloomingdale Lightning FC Pre-ECNL B14,Bloomingdale Lightning FC Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
118143,2476,Chicago City SC Pre-ECNL B14,Chicago City SC Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
117716,2167,Chicago Inter Soccer Pre-ECNL B14,Chicago Inter Soccer Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
117798,2106,Chicago Magic Pre-ECNL B14,Chicago Magic Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
114425,3153,Chicago Soccer Academy Pre-ECNL B14,Chicago Soccer Academy Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
112582,1255,FC 1974 Libertyville Pre-ECNL B14,FC 1974 Libertyville Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
113570,1797,FC WISCONSIN Pre-ECNL B14,FC WISCONSIN Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
111462,4326,Force Pre-ECNL B14,Force Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
98442,2257,Indiana Elite FC Pre-ECNL B14,Indiana Elite FC Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
117196,5009,Roadrunners SC Pre-ECNL B14,Roadrunners SC Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
116231,2017,Rockford Raptors Pre-ECNL B14,Rockford Raptors Pre-ECNL B14,B2015,Lake Michigan,Pre-ECNL Boys,2025-26
111804,592,Arizona Arsenal Pre-ECNL B14,Arizona Arsenal Pre-ECNL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
112377,1936,CCV Stars Pre-ECNL B14,CCV Stars Pre-ECNL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
116016,4368,El Paso Locomotive SC Pre-ECNL B14,El Paso Locomotive SC Pre-ECNL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
115635,3998,FC Arizona PRE-ECNL RL B14,FC Arizona PRE-ECNL RL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
111373,1560,NM Rapids Pre-ECNL B14,NM Rapids Pre-ECNL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
116432,5137,PlayMaker Futbol Academy Pre-ECNL B14,PlayMaker Futbol Academy Pre-ECNL B14,B2015,Mountain,Pre-ECNL Boys,2025-26
76791,2738,Atletico Dallas Youth Pre-ECNL B14 Blanton,Atletico Dallas Youth Pre-ECNL B14 Blanton,B2015,NTX,Pre-ECNL Boys,2025-26
96411,2738,Atletico Dallas Youth Pre-ECNL B14 Luna,Atletico Dallas Youth Pre-ECNL B14 Luna,B2015,NTX,Pre-ECNL Boys,2025-26
96541,2738,Atletico Dallas Youth Pre-ECNL B14 Nwegbo,Atletico Dallas Youth Pre-ECNL B14 Nwegbo,B2015,NTX,Pre-ECNL Boys,2025-26
76727,2738,Atletico Dallas Youth Pre-ECNL B14 Ostergren,Atletico Dallas Youth Pre-ECNL B14 Ostergren,B2015,NTX,Pre-ECNL Boys,2025-26
106360,2738,Atl̩tico Dallas Youth - Pre-ECNL B16 Hernandez WTX,Atl̩tico Dallas Youth - Pre-ECNL B16 Hernandez WTX,B2015,NTX,Pre-ECNL Boys,2025-26
116787,2738,Atl̩tico Dallas Youth Pre ECNL B16 Luna,Atl̩tico Dallas Youth Pre ECNL B16 Luna,B2015,NTX,Pre-ECNL Boys,2025-26
116783,2738,Atl̩tico Dallas Youth Pre-ECNL B14 Malcolmson,Atl̩tico Dallas Youth Pre-ECNL B14 Malcolmson,B2015,NTX,Pre-ECNL Boys,2025-26
116786,2738,Atl̩tico Dallas Youth Pre-ECNL B16 Blanton/Otec,Atl̩tico Dallas Youth Pre-ECNL B16 Blanton/Otec,B2015,NTX,Pre-ECNL Boys,2025-26
116785,2738,Atl̩tico Dallas Youth Pre-ECNL B16 Challinor,Atl̩tico Dallas Youth Pre-ECNL B16 Challinor,B2015,NTX,Pre-ECNL Boys,2025-26
115181,4068,Avanti SA Pre-ECNL B14 Campos,Avanti SA Pre-ECNL B14 Campos,B2015,NTX,Pre-ECNL Boys,2025-26
76306,4068,Avanti SA Pre-ECNL B14 J Molina,Avanti SA Pre-ECNL B14 J Molina,B2015,NTX,Pre-ECNL Boys,2025-26
82182,4068,Avanti SA Pre-ECNL B14 Joundi,Avanti SA Pre-ECNL B14 Joundi,B2015,NTX,Pre-ECNL Boys,2025-26
115182,7,Avanti SA Pre-ECNL B14 Joundi Red,Avanti SA Pre-ECNL B14 Joundi Red,B2015,NTX,Pre-ECNL Boys,2025-26
115191,4068,Avanti SA Pre-ECNL B16 Campos,Avanti SA Pre-ECNL B16 Campos,B2015,NTX,Pre-ECNL Boys,2025-26
76304,4068,Avanti SA Pre-ECNL B16 Cavazos,Avanti SA Pre-ECNL B16 Cavazos,B2015,NTX,Pre-ECNL Boys,2025-26
115194,4068,Avanti SA Pre-ECNL B16 Mercado,Avanti SA Pre-ECNL B16 Mercado,B2015,NTX,Pre-ECNL Boys,2025-26
