team_id,club_id,team_name,club_name,age_group,conference,league,season
112869,2937,Oregon Premier FC ECNL RL B10,Oregon Premier FC ECNL RL B10,B2010,Far West,ECNL RL Boys,2025-26
114500,4344,Portland City United ECNL RL B10,Portland City United ECNL RL B10,B2010,Far West,ECNL RL Boys,2025-26
111158,3956,Capital FC ECNL RL B11,Capital FC ECNL RL B11,B2011,Far West,ECNL RL Boys,2025-26
112830,2937,Oregon Premier FC ECNL RL B11,Oregon Premier FC ECNL RL B11,B2011,Far West,ECNL RL Boys,2025-26
114720,2554,Eastside Timbers ECNL RL B12,Eastside Timbers ECNL RL B12,B2012,Far West,ECNL RL Boys,2025-26
111893,2536,United PDX ECNL RL B12,United PDX ECNL RL B12,B2012,Far West,ECNL RL Boys,2025-26
115493,51,Boise Timbers FC ECNL RL B13,Boise Timbers FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
116411,3956,Capital FC ECNL RL B13,Capital FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
114719,2554,Eastside Timbers ECNL RL B13,Eastside Timbers ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
116439,4330,Eugene Metro FC ECNL RL B13,Eugene Metro FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
117874,603,FC Portland ECNL RL B13,FC Portland ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
113982,1813,Idaho Rush ECNL RL B13,Idaho Rush ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
112725,2937,Oregon Premier FC ECNL RL B13,Oregon Premier FC ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
114497,4344,Portland City United ECNL RL B13 Red 1,Portland City United ECNL RL B13 Red 1,B2013,Far West,ECNL RL Boys,2025-26
111895,2536,United PDX ECNL RL B13,United PDX ECNL RL B13,B2013,Far West,ECNL RL Boys,2025-26
114102,3390,Cape Coral SA ECNL RL B13,Cape Coral SA ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113732,354,Davie United SC ECNL RL B13,Davie United SC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
114365,2237,Doral Soccer Club ECNL RL B13,Doral Soccer Club ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
112328,5158,FC America ECNL RL B13,FC America ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113235,2329,FC Prime ECNL RL B13,FC Prime ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
111958,3055,FHFC ECNL RL B13,FHFC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
112368,2731,FL Premier FC Black ECNL RL B13,FL Premier FC Black ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
114697,2731,FL Premier FC Gold ECNL RL B13,FL Premier FC Gold ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113667,3424,Florida Celtic ECNL RL B13,Florida Celtic ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113716,379,Florida Kraze ECNL RL B13,Florida Kraze ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
114000,3384,Florida West FC ECNL RL B13,Florida West FC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
112974,1925,Fort Lauderdale United FC ECNL RL B13,Fort Lauderdale United FC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
112548,4568,Orlando City Lake Nona ECNL RL B13,Orlando City Lake Nona ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
111913,3387,Parkland SC ECNL RL B13,Parkland SC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
111662,2731,SWFL Premier FC ECNL RL B13,SWFL Premier FC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
111342,3303,South Orlando Soccer Club ECNL RL B13,South Orlando Soccer Club ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113758,1919,Space Coast United ECNL RL B13,Space Coast United ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113714,4317,Sporting Club Tallahassee ECNL RL B13,Sporting Club Tallahassee ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113643,1353,Sporting Jax ECNL RL B13,Sporting Jax ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
111437,4566,Springs SC ECNL RL B13,Springs SC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
110221,4873,Strikers Miami FC ECNL RL B13,Strikers Miami FC ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
109674,4795,Tropical Soccer Club ECNL RL B13,Tropical Soccer Club ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
113106,840,Wellington ECNL RL B13,Wellington ECNL RL B13,B2013,Florida,ECNL RL Boys,2025-26
81777,3585,Arkansas Comets FC ECNL RL B08/07,Arkansas Comets FC ECNL RL B08/07,B2008/2007,Frontier,ECNL RL Boys,2025-26
42874,106,Tulsa SC ECNL RL B08/07,Tulsa SC ECNL RL B08/07,B2008/2007,Frontier,ECNL RL Boys,2025-26
81780,3585,Arkansas Comets FC ECNL RL B09,Arkansas Comets FC ECNL RL B09,B2009,Frontier,ECNL RL Boys,2025-26
60908,3594,Arkansas Rising ECNL RL B09,Arkansas Rising ECNL RL B09,B2009,Frontier,ECNL RL Boys,2025-26
77795,3620,FC Tulsa Academy ECNL RL B09,FC Tulsa Academy ECNL RL B09,B2009,Frontier,ECNL RL Boys,2025-26
109309,5136,SW Missouri Rush ECNL RL B09,SW Missouri Rush ECNL RL B09,B2009,Frontier,ECNL RL Boys,2025-26
81781,3585,Arkansas Comets FC ECNL RL B10,Arkansas Comets FC ECNL RL B10,B2010,Frontier,ECNL RL Boys,2025-26
81699,3620,FC Tulsa Academy ECNL RL B10,FC Tulsa Academy ECNL RL B10,B2010,Frontier,ECNL RL Boys,2025-26
72542,2250,Oklahoma Cosmos ECNL RL B10,Oklahoma Cosmos ECNL RL B10,B2010,Frontier,ECNL RL Boys,2025-26
69325,3587,West Side Alliance White ECNL RL B10,West Side Alliance White ECNL RL B10,B2010,Frontier,ECNL RL Boys,2025-26
81782,3585,Arkansas Comets FC ECNL RL B11,Arkansas Comets FC ECNL RL B11,B2011,Frontier,ECNL RL Boys,2025-26
71765,3594,Arkansas Rising ECNL RL B11,Arkansas Rising ECNL RL B11,B2011,Frontier,ECNL RL Boys,2025-26
81696,3620,FC Tulsa Academy ECNL RL B11,FC Tulsa Academy ECNL RL B11,B2011,Frontier,ECNL RL Boys,2025-26
114847,2133,OK Energy FC II ECNL RL B11,OK Energy FC II ECNL RL B11,B2011,Frontier,ECNL RL Boys,2025-26
84694,3585,Arkansas Comets FC ECNL RL B12,Arkansas Comets FC ECNL RL B12,B2012,Frontier,ECNL RL Boys,2025-26
64066,2250,Oklahoma Cosmos ECNL RL B12,Oklahoma Cosmos ECNL RL B12,B2012,Frontier,ECNL RL Boys,2025-26
111559,5136,SW Missouri Rush ECNL RL B12,SW Missouri Rush ECNL RL B12,B2012,Frontier,ECNL RL Boys,2025-26
107393,3587,West Side Alliance Red ECNL RL B12,West Side Alliance Red ECNL RL B12,B2012,Frontier,ECNL RL Boys,2025-26
