league,event_id,club,gotsport_url
FCL NPL (Florida),44970,North Port Fusion FC,https://system.gotsport.com/org_event/events/44970/clubs/8237
FCL NPL (Florida),44970,Orlando City Soccer School Lake Nona,https://system.gotsport.com/org_event/events/44970/clubs/9016
FCL NPL (Florida),44970,Ormond Beach Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/8085
FCL NPL (Florida),44970,Palm Beach Kicks,https://system.gotsport.com/org_event/events/44970/clubs/9021
FCL NPL (Florida),44970,Parkland Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/3625
FCL NPL (Florida),44970,Plant City FC,https://system.gotsport.com/org_event/events/44970/clubs/8163
FCL NPL (Florida),44970,"PSL Soccer Club/Hurricanes, Inc.",https://system.gotsport.com/org_event/events/44970/clubs/3644
FCL NPL (Florida),44970,RONALDO ACADEMY TAMPA BAY,https://system.gotsport.com/org_event/events/44970/clubs/27756
FCL NPL (Florida),44970,SABR - Team Boca,https://system.gotsport.com/org_event/events/44970/clubs/10055
FCL NPL (Florida),44970,Schulz Academy,https://system.gotsport.com/org_event/events/44970/clubs/12858
FCL NPL (Florida),44970,South Florida Football Academy,https://system.gotsport.com/org_event/events/44970/clubs/13707
FCL NPL (Florida),44970,South Miami United FC,https://system.gotsport.com/org_event/events/44970/clubs/31396
FCL NPL (Florida),44970,South Orlando SC,https://system.gotsport.com/org_event/events/44970/clubs/10168
FCL NPL (Florida),44970,Space Coast United,https://system.gotsport.com/org_event/events/44970/clubs/3248
FCL NPL (Florida),44970,Sporting Gainesville Soccer Academy,https://system.gotsport.com/org_event/events/44970/clubs/10047
FCL NPL (Florida),44970,Sporting Jax Soccer Academy,https://system.gotsport.com/org_event/events/44970/clubs/2749
FCL NPL (Florida),44970,Springs Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/10344
FCL NPL (Florida),44970,St. Petersburg Football Club,https://system.gotsport.com/org_event/events/44970/clubs/10179
FCL NPL (Florida),44970,Strikers Miami FC,https://system.gotsport.com/org_event/events/44970/clubs/10138
FCL NPL (Florida),44970,Sunrise Soccer Club,https://system.gotsport.com/org_event/events/44970/clubs/3638
FCL NPL (Florida),44970,Tampa Bay United,https://system.gotsport.com/org_event/events/44970/clubs/5155
FCL NPL (Florida),44970,Tampa Dynamo FC,https://system.gotsport.com/org_event/events/44970/clubs/3688
FCL NPL (Florida),44970,Tampa Knights,https://system.gotsport.com/org_event/events/44970/clubs/33511
FCL NPL (Florida),44970,The DA,https://system.gotsport.com/org_event/events/44970/clubs/20179
FCL NPL (Florida),44970,Tropical Soccer,https://system.gotsport.com/org_event/events/44970/clubs/8167
FCL NPL (Florida),44970,Wellington SC,https://system.gotsport.com/org_event/events/44970/clubs/10051
FCL NPL (Florida),44970,West Florida Flames,https://system.gotsport.com/org_event/events/44970/clubs/8217
FCL NPL (Florida),44970,Weston FC,https://system.gotsport.com/org_event/events/44970/clubs/504
GLA NPL,43157,Akron Metro Futbol Club,https://system.gotsport.com/org_event/events/43157/clubs/5071
GLA NPL,43157,Allegheny Force FC,https://system.gotsport.com/org_event/events/43157/clubs/7785
GLA NPL,43157,Ambassadors FC (OH),https://system.gotsport.com/org_event/events/43157/clubs/12673
GLA NPL,43157,Barcelona United,https://system.gotsport.com/org_event/events/43157/clubs/7775
GLA NPL,43157,Beadling SC,https://system.gotsport.com/org_event/events/43157/clubs/7787
GLA NPL,43157,Blast FC Soccer Academy,https://system.gotsport.com/org_event/events/43157/clubs/4735
GLA NPL,43157,Buffalo Pro Soccer Academy,https://system.gotsport.com/org_event/events/43157/clubs/30124
GLA NPL,43157,Buffalo Stallions,https://system.gotsport.com/org_event/events/43157/clubs/4173
GLA NPL,43157,Butler United SC,https://system.gotsport.com/org_event/events/43157/clubs/23976
GLA NPL,43157,BVB International Academy - Pittsburgh,https://system.gotsport.com/org_event/events/43157/clubs/18893
GLA NPL,43157,Canton Akron United Force,https://system.gotsport.com/org_event/events/43157/clubs/7390
GLA NPL,43157,Caps FC,https://system.gotsport.com/org_event/events/43157/clubs/12674
GLA NPL,43157,Carmel FC,https://system.gotsport.com/org_event/events/43157/clubs/7704
GLA NPL,43157,Central Ohio Elite,https://system.gotsport.com/org_event/events/43157/clubs/19307
GLA NPL,43157,Century United Soccer,https://system.gotsport.com/org_event/events/43157/clubs/4337
GLA NPL,43157,Chili Soccer Association,https://system.gotsport.com/org_event/events/43157/clubs/27070
GLA NPL,43157,Cincinnati Elite FC,https://system.gotsport.com/org_event/events/43157/clubs/4728
GLA NPL,43157,Cincy Galaxy SC,https://system.gotsport.com/org_event/events/43157/clubs/23971
GLA NPL,43157,Clarence SC,https://system.gotsport.com/org_event/events/43157/clubs/23152
GLA NPL,43157,Cleveland Cobras,https://system.gotsport.com/org_event/events/43157/clubs/8328
GLA NPL,43157,Cleveland Football Academy,https://system.gotsport.com/org_event/events/43157/clubs/12669
GLA NPL,43157,Cleveland Force SC,https://system.gotsport.com/org_event/events/43157/clubs/7763
