club_id,club_name,region,state,conferences,age_groups,website
3475,Louisville City Academy,East,KY,Ohio Valley,B2008 | B2009 | B2011 | B2012 | B2013,https://louisvillecityfc.com
3476,XF Academy,West,WA,Northwest,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://crossfiresoccer.org
3478,Cleveland Force SC,East,OH,Ohio Valley,B2008 | B2009 | B2010 | B2012 | B2013,https://clevelandforcefc.com
3480,Union KC,Central,MO,Heartland,B2009 | B2011 | B2012 | B2013,https://unionkc.com
3483,Sporting Iowa,Central,IA,Heartland,B2008 | B2009 | B2012 | B2013,https://sportingiowa.com
3486,FC Wichita,Central,KS,Heartland,B2008 | B2009 | B2010 | B2011 | B2013,https://fcwichita.com
3589,Germantown Legends,Central,TN,Mid-America,B2008 | B2009 | B2010 | B2012 | B2013,https://germantownlegends.com
3639,Colorado EDGE SC,Central,CO,Mountain,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://coloradoedgesc.com
3644,South Carolina Surf,East,SC,Southeast,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://scsurfclub.com
3696,Kansas Rush,Central,KS,Heartland,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://kansasrush.com
3723,VSA Rush,Central,VA,Heartland,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://vsarush.com
3739,Skyline Elite,East,VA,Mid-Atlantic,B2009 | B2010 | B2011 | B2013,https://skylineelitesc.org
3956,Capital FC,West,OR,Far West,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://capitalfc.com
4012,Highland FC,East,NC,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://highlandfc.com
4063,El Camino Futbol Club Salinas,West,CA,Northern Cal,B2009 | B2010 | B2011 | B2012,https://ecfcsalinas.com
4304,SAFC,Central,TX,Texas,B2008 | B2009 | B2010 | B2011 | B2013,https://sanantoniofc.com
4327,Mississippi Rush United,Central,MS,Mid-America,B2008 | B2009 | B2010 | B2011 | B2013,https://msrushunited.com
4330,Eugene Metro FC,West,OR,Far West,B2008 | B2010 | B2011 | B2012 | B2013,https://emfc.org
4338,PSA Monmouth,East,NJ,North Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://psamonmouth.org
4342,1974 Newark FC,West,CA,Northern Cal,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://newarksoccer.org
4355,SJEBFC,East,NJ,North Atlantic,B2008 | B2009 | B2010 | B2012 | B2013,https://sjebfc.com
4368,El Paso Locomotive,Central,TX,Mountain,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://elpasolomotive.com
4370,AC Connecticut,East,CT,New England,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://acct.us
4603,Fairfax VA Union,East,VA,Mid-Atlantic,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://fairfaxvaunion.com
5147,St. Louis Stars,Central,MO,Heartland,B2008 | B2009 | B2010 | B2011 | B2012,https://stlouisstars.com
5213,Louisiana Fire Soccer Club,Central,LA,Mid-America,B2008 | B2009 | B2010 | B2011 | B2012 | B2013,https://lafiresoccer.com
