club_id,team_id,club_name,conference,age_group
4338,112988,PSA Monmouth,North Atlantic,B2008
4355,82612,SJEBFC,North Atlantic,B2008
88,99062,San Juan SC,Northern Cal,B2013
2548,103708,Santa Clara Sporting,Northern Cal,B2013
4342,99123,1974 Newark FC,Northern Cal,B2013
1425,103014,Davis Legacy,Northern Cal,B2013
1470,70860,COSC,Northern Cal,B2013
3231,117775,Los Gatos United,Northern Cal,B2013
1585,103177,Marin FC,Northern Cal,B2013
1040,103185,San Francisco Elite Academy,Northern Cal,B2013
91,94914,Santa Rosa United,Northern Cal,B2013
69,99055,Mustang SC,Northern Cal,B2013
294,84681,MVLA,Northern Cal,B2012
3065,93951,Association FC,Northern Cal,B2012
1470,97487,COSC,Northern Cal,B2012
1585,84685,Marin FC,Northern Cal,B2012
91,46181,Santa Rosa United,Northern Cal,B2012
1040,94626,San Francisco Elite Academy,Northern Cal,B2012
2955,84813,River Islands Surf B12 ECNL,Northern Cal,B2012
4342,82821,1974 Newark FC,Northern Cal,B2012
88,84679,San Juan SC,Northern Cal,B2012
2548,81675,Santa Clara Sporting,Northern Cal,B2011
4342,81051,1974 Newark FC,Northern Cal,B2011
3054,71880,Placer United,Northern Cal,B2011
1040,80573,San Francisco Elite Academy,Northern Cal,B2011
1585,71821,Marin FC,Northern Cal,B2011
91,71804,Santa Rosa United,Northern Cal,B2011
2955,81001,River Islands Surf B11 ECNL,Northern Cal,B2011
88,82111,San Juan SC,Northern Cal,B2011
1470,33942,COSC,Northern Cal,B2010
4342,81050,1974 Newark FC,Northern Cal,B2010
3231,117772,Los Gatos United,Northern Cal,B2010
1040,80574,San Francisco Elite Academy,Northern Cal,B2010
3065,80634,Association FC,Northern Cal,B2010
88,69483,San Juan SC,Northern Cal,B2010
294,24504,MVLA,Northern Cal,B2010
91,69415,Santa Rosa United,Northern Cal,B2010
1585,47721,Marin FC,Northern Cal,B2009
3231,117770,Los Gatos United,Northern Cal,B2009
4342,80778,1974 Newark FC,Northern Cal,B2009
3065,80633,Association FC,Northern Cal,B2009
91,60194,Santa Rosa United,Northern Cal,B2009
4063,70357,El Camino Futbol Club Salinas,Northern Cal,B2009
88,60204,San Juan SC,Northern Cal,B2009
2955,71302,River Islands Surf B09 ECNL,Northern Cal,B2009
1040,80576,San Francisco Elite Academy,Northern Cal,B2008
1470,26268,COSC,Northern Cal,B2008
4342,81052,1974 Newark FC,Northern Cal,B2008
1585,46148,Marin FC,Northern Cal,B2008
2548,46172,Santa Clara Sporting,Northern Cal,B2008
3065,80635,Association FC,Northern Cal,B2008
294,46154,MVLA,Northern Cal,B2008
1425,46130,Davis Legacy,Northern Cal,B2008
91,46178,Santa Rosa United,Northern Cal,B2008
88,46166,San Juan SC,Northern Cal,B2008
2955,71301,River Islands Surf B08/07 ECNL,Northern Cal,B2008
112,98188,Washington Premier,Northwest,B2013
2331,111548,PacNW SC,Northwest,B2013
2229,116361,3RSC,Northwest,B2013
3476,92619,XF,Northwest,B2013
2522,97512,Snohomish United,Northwest,B2013
2229,116360,3RSC,Northwest,B2012
2322,94668,Columbia Premier SC,Northwest,B2012
3476,92522,XF,Northwest,B2012
2522,83173,Snohomish United,Northwest,B2012
2331,81137,PacNW SC,Northwest,B2011
3476,82135,XF,Northwest,B2011
2322,71873,Columbia Premier SC,Northwest,B2011
2522,71809,Snohomish United,Northwest,B2011
112,69052,Washington Premier,Northwest,B2010
2522,69707,Snohomish United,Northwest,B2010
2322,69797,Columbia Premier SC,Northwest,B2010
3476,62278,XF,Northwest,B2010
3476,60439,XF,Northwest,B2009
2229,116357,3RSC,Northwest,B2009
2322,60032,Columbia Premier SC,Northwest,B2009
2522,57083,Snohomish United,Northwest,B2009
2331,26470,PacNW SC,Northwest,B2008
398,46838,Eastside FC,Northwest,B2008
3476,60438,XF,Northwest,B2008
2522,46847,Snohomish United,Northwest,B2008
2322,46845,Columbia Premier SC,Northwest,B2008
2229,116356,3RSC,Northwest,B2008
3475,81995,Louisville City Academy,Ohio Valley,B2013
538,69758,Pittsburgh Riverhounds,Ohio Valley,B2013
1501,68814,FC Pride Elite,Ohio Valley,B2013
343,79650,WNY Flash,Ohio Valley,B2013
75,69938,Ohio Elite SA,Ohio Valley,B2013
3478,59145,Cleveland Force SC,Ohio Valley,B2012
75,69465,Ohio Elite SA,Ohio Valley,B2012
343,61876,WNY Flash,Ohio Valley,B2012
538,69759,Pittsburgh Riverhounds,Ohio Valley,B2012
437,71993,Ohio Premier,Ohio Valley,B2011
538,60738,Pittsburgh Riverhounds,Ohio Valley,B2011
1501,54744,FC Pride Elite,Ohio Valley,B2011
75,69464,Ohio Elite SA,Ohio Valley,B2011
1713,70531,Nationals Soccer Club,Ohio Valley,B2010
538,60739,Pittsburgh Riverhounds,Ohio Valley,B2010
343,36928,WNY Flash,Ohio Valley,B2010
1501,54745,FC Pride Elite,Ohio Valley,B2010
1501,59991,FC Pride Elite,Ohio Valley,B2009
538,4271,Pittsburgh Riverhounds,Ohio Valley,B2009
343,12949,WNY Flash,Ohio Valley,B2009
1713,60176,Nationals Soccer Club,Ohio Valley,B2009
3475,46067,Louisville City Academy,Ohio Valley,B2008
1501,110070,FC Pride Elite,Ohio Valley,B2008
1713,60177,Nationals Soccer Club,Ohio Valley,B2008
538,46803,Pittsburgh Riverhounds,Ohio Valley,B2008
343,46858,WNY Flash,Ohio Valley,B2008
3478,56923,Cleveland Force SC,Ohio Valley,B2008
1689,98644,South Carolina United,Southeast,B2013
14,116940,Atlanta Fire United,Southeast,B2013
30,112294,Concorde Fire Premier,Southeast,B2013
3407,98539,United Futbol Academy,Southeast,B2013
14,79870,Atlanta Fire United,Southeast,B2012
3407,81902,United Futbol Academy,Southeast,B2012
1689,94987,South Carolina United,Southeast,B2012
3644,81241,South Carolina Surf,Southeast,B2011
56,81335,GSA,Southeast,B2011
1689,82200,South Carolina United,Southeast,B2011
14,67126,Atlanta Fire United,Southeast,B2010
1689,69847,South Carolina United,Southeast,B2010
3407,68839,United Futbol Academy,Southeast,B2010
14,60031,Atlanta Fire United,Southeast,B2009
1689,52497,South Carolina United,Southeast,B2009
30,59237,Concorde Fire Premier,Southeast,B2009
3644,52308,South Carolina Surf,Southeast,B2008
14,44968,Atlanta Fire United,Southeast,B2008
1689,102633,South Carolina United,Southeast,B2008
30,35798,Concorde Fire Premier,Southeast,B2008
3407,46038,United Futbol Academy,Southeast,B2008
16,112366,Beach FC (CA),Southwest,B2013
96,115064,SLAMMERS FC,Southwest,B2013
57,110876,LV Heat Surf,Southwest,B2013
300,113383,Rebels SC,Southwest,B2013
2289,78582,LA Breakers FC,Southwest,B2013
39,80990,Legends FC San Diego,Southwest,B2013
2289,69638,LA Breakers FC,Southwest,B2012
39,71126,Legends FC San Diego,Southwest,B2012
86,68759,SDSC Surf,Southwest,B2012
57,94646,LV Heat Surf,Southwest,B2012
87,81456,San Diego Surf,Southwest,B2011
96,81813,Slammers FC,Southwest,B2011
113,59706,West Coast FC,Southwest,B2011
39,100374,Legends FC San Diego,Southwest,B2011
2289,60838,LA Breakers FC,Southwest,B2010
86,37666,SDSC Surf,Southwest,B2010
39,69041,Legends FC San Diego,Southwest,B2010
57,48237,LV Heat Surf,Southwest,B2010
57,59247,LV Heat Surf,Southwest,B2009
39,53808,Legends FC San Diego,Southwest,B2009
86,28807,SDSC Surf,Southwest,B2009
300,69634,Rebels SC,Southwest,B2009
13,46848,Sporting CA USA,Southwest,B2008
87,45964,San Diego Surf,Southwest,B2008
39,46834,Legends FC San Diego,Southwest,B2008
96,2338,Slammers FC,Southwest,B2008
113,46881,West Coast FC,Southwest,B2008
