division,conference,school,mens_soccer,womens_soccer
Division I,Big 12 Conference,University of Arizona,False,True
Division I,Ohio Valley Conference,University of Arkansas at Little Rock,False,True
Division I,Southeastern Conference,"University of Arkansas, Fayetteville",False,True
Division I,Southwestern Athletic Conf.,"University of Arkansas, Pine Bluff",False,True
Division I,Atlantic Coast Conference,"University of California, Berkeley",True,True
Division I,Big West Conference,"University of California, Davis",True,True
Division I,Big West Conference,"University of California, Irvine",True,True
Division I,Big Ten Conference,"University of California, Los Angeles",True,True
Division I,Big West Conference,"University of California, Riverside",True,True
Division I,Big West Conference,"University of California, San Diego",True,True
Division I,Big West Conference,"University of California, Santa Barbara",True,True
Division I,Atlantic Sun Conference,University of Central Arkansas,True,True
Division I,Big 12 Conference,University of Central Florida,True,True
Division I,Big 12 Conference,University of Cincinnati,False,True
Division I,Big 12 Conference,University of Colorado Boulder,False,True
Division I,Big East Conference,University of Connecticut,True,True
Division I,Atlantic 10 Conference,University of Dayton,True,True
Division I,Conference USA,University of Delaware,True,True
Division I,The Summit League,University of Denver,True,True
Division I,Horizon League,University of Detroit Mercy,True,True
Division I,Missouri Valley Conference,University of Evansville,True,True
Division I,Southeastern Conference,University of Florida,False,True
Division I,Southeastern Conference,University of Georgia,False,True
Division I,Big West Conference,"University of Hawaii, Manoa",False,True
Division I,Big 12 Conference,University of Houston,False,True
Division I,Big Sky Conference,University of Idaho,False,True
Division I,Missouri Valley Conference,University of Illinois Chicago,True,True
Division I,Big Ten Conference,University of Illinois Urbana-Champaign,False,True
Division I,Big Ten Conference,University of Iowa,False,True
Division I,Big 12 Conference,University of Kansas,False,True
Division I,Southeastern Conference,University of Kentucky,True,True
Division I,Sun Belt Conference,University of Louisiana Monroe,False,True
Division I,Sun Belt Conference,University of Louisiana at Lafayette,False,True
Division I,Atlantic Coast Conference,University of Louisville,True,True
Division I,America East Conference,University of Maine,False,True
Division I,America East Conference,"University of Maryland, Baltimore County",True,True
Division I,Big Ten Conference,"University of Maryland, College Park",True,True
Division I,America East Conference,University of Massachusetts Lowell,True,True
Division I,Mid-American Conference,"University of Massachusetts, Amherst",True,True
Division I,American Conference,University of Memphis,True,True
Division I,Atlantic Coast Conference,University of Miami (Florida),False,True
Division I,Big Ten Conference,University of Michigan,True,True
Division I,Big Ten Conference,"University of Minnesota, Twin Cities",False,True
Division I,Southeastern Conference,University of Mississippi,False,True
Division I,Southeastern Conference,"University of Missouri, Columbia",False,True
Division I,The Summit League,University of Missouri-Kansas City,True,True
Division I,Big Sky Conference,University of Montana,False,True
Division I,The Summit League,University of Nebraska at Omaha,True,True
Division I,Big Ten Conference,University of Nebraska-Lincoln,False,True
Division I,Mountain West Conference,"University of Nevada, Las Vegas",True,True
Division I,Mountain West Conference,"University of Nevada, Reno",False,True
Division I,America East Conference,University of New Hampshire,True,True
Division I,Mountain West Conference,University of New Mexico,False,True
Division I,Atlantic Sun Conference,University of North Alabama,False,True
Division I,Big South Conference,University of North Carolina Asheville,True,True
Division I,Coastal Athletic Association,University of North Carolina Wilmington,True,True
Division I,Atlantic Coast Conference,"University of North Carolina, Chapel Hill",True,True
Division I,The Summit League,University of North Dakota,False,True
Division I,Atlantic Sun Conference,University of North Florida,True,True
Division I,American Conference,University of North Texas,False,True
Division I,Big Sky Conference,University of Northern Colorado,False,True
Division I,Missouri Valley Conference,University of Northern Iowa,False,True
Division I,Atlantic Coast Conference,University of Notre Dame,True,True
Division I,Southeastern Conference,University of Oklahoma,False,True
Division I,Big Ten Conference,University of Oregon,False,True
Division I,The Ivy League,University of Pennsylvania,True,True
Division I,Atlantic Coast Conference,University of Pittsburgh,True,True
Division I,West Coast Conference,University of Portland,True,True
Division I,Atlantic 10 Conference,University of Rhode Island,True,True
Division I,Atlantic 10 Conference,University of Richmond,False,True
Division I,West Coast Conference,University of San Diego,True,True
Division I,West Coast Conference,University of San Francisco,True,True
Division I,Sun Belt Conference,University of South Alabama,False,True
Division I,Big South Conference,University of South Carolina Upstate,True,True
Division I,Southeastern Conference,"University of South Carolina, Columbia",True,True
Division I,The Summit League,University of South Dakota,False,True
Division I,American Conference,University of South Florida,True,True
Division I,Big Ten Conference,University of Southern California,False,True
Division I,Ohio Valley Conference,University of Southern Indiana,True,True
Division I,The Summit League,University of St. Thomas (Minnesota),True,True
Division I,Southern Conference,University of Tennessee at Chattanooga,False,True
Division I,Ohio Valley Conference,University of Tennessee at Martin,False,True
Division I,Southeastern Conference,"University of Tennessee, Knoxville",False,True
Division I,Southeastern Conference,University of Texas at Austin,False,True
Division I,Conference USA,University of Texas at El Paso,False,True
Division I,American Conference,University of Texas at San Antonio,False,True
Division I,Mid-American Conference,University of Toledo,False,True
Division I,Big 12 Conference,University of Utah,False,True
Division I,America East Conference,University of Vermont,True,True
Division I,Atlantic Coast Conference,University of Virginia,True,True
Division I,Big Ten Conference,University of Washington,True,True
Division I,Horizon League,University of Wisconsin-Green Bay,True,True
Division I,Big Ten Conference,University of Wisconsin-Madison,True,True
Division I,Horizon League,University of Wisconsin-Milwaukee,True,True
Division I,Mountain West Conference,University of Wyoming,False,True
Division I,Southland Conference,University of the Incarnate Word,True,True
Division I,West Coast Conference,University of the Pacific,True,True
Division I,Mountain West Conference,Utah State University,False,True
Division I,Western Athletic Conference,Utah Tech University,True,True
Division I,Western Athletic Conference,Utah Valley University,True,True
Division I,Missouri Valley Conference,Valparaiso University,False,True
