division,conference,school,mens_soccer,womens_soccer
Division II,Great Lakes Intercollegiate Athletic Conference,Roosevelt University,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Saginaw Valley State University,True,True
Division II,Northeast-10 Conference,Saint Anselm College,True,True
Division II,Sunshine State Conference,Saint Leo University,True,True
Division II,Great Northwest Athletic Conference,Saint Martin's University,True,True
Division II,Northeast-10 Conference,Saint Michael's College,True,True
Division II,Independent,Salem University (West Virginia),True,True
Division II,California Collegiate Athletic Association,San Francisco State University,False,True
Division II,Great Northwest Athletic Conference,Seattle Pacific University,True,True
Division II,Pennsylvania State Athletic Conference,Seton Hill University,True,True
Division II,Central Intercollegiate Athletic Association,Shaw University,True,True
Division II,Pennsylvania State Athletic Conference,Shepherd University,True,True
Division II,Pennsylvania State Athletic Conference,Shippensburg University of Pennsylvania,True,True
Division II,Conference Carolinas,Shorter University,True,True
Division II,Great Northwest Athletic Conference,Simon Fraser University,True,True
Division II,Pennsylvania State Athletic Conference,Slippery Rock University of Pennsylvania,True,True
Division II,Rocky Mountain Athletic Conference,South Dakota School of Mines & Technology,True,False
Division II,Northeast-10 Conference,Southern Connecticut State University,True,True
Division II,Great American Conference,Southern Nazarene University,True,True
Division II,Northeast-10 Conference,Southern New Hampshire University,True,True
Division II,Conference Carolinas,Southern Wesleyan University,True,True
Division II,Great Lakes Valley Conference,Southwest Baptist University,True,True
Division II,Northern Sun Intercollegiate Conference,Southwest Minnesota State University,False,True
Division II,Great American Conference,Southwestern Oklahoma State University,False,True
Division II,Southern Intercol. Ath. Conf.,Spring Hill College,True,True
Division II,Northern Sun Intercollegiate Conference,St. Cloud State University,True,True
Division II,Lone Star Conference,St. Edward's University,True,True
Division II,Lone Star Conference,St. Mary's University (Texas),True,True
Division II,East Coast Conference,St. Thomas Aquinas College,True,True
Division II,Lone Star Conference,Texas A&M International University,True,True
Division II,Lone Star Conference,Texas Woman's University,False,True
Division II,Lone Star Conference,The University of Texas Permian Basin,False,True
Division II,Lone Star Conference,The University of Texas at Tyler,True,True
Division II,Central Atlantic Collegiate Conference,Thomas Jefferson University,True,True
Division II,Great Midwest Athletic Conference,Thomas More University,True,True
Division II,Great Midwest Athletic Conference,Tiffin University,True,True
Division II,Gulf South Conference,Trevecca Nazarene University,True,True
Division II,Great Lakes Valley Conference,Truman State University,True,True
Division II,South Atlantic Conference,Tusculum University,True,True
Division II,Gulf South Conference,Union University,True,True
Division II,Gulf South Conference,University of Alabama in Huntsville,True,True
Division II,Central Atlantic Collegiate Conference,University of Bridgeport,True,True
Division II,California Collegiate Athletic Association,"University of California, Merced",True,True
Division II,Mid-America Intercollegiate Athletics Association,University of Central Missouri,False,True
Division II,Mid-America Intercollegiate Athletics Association,University of Central Oklahoma,False,True
Division II,Mountain East Conference,University of Charleston (West Virginia),True,True
Division II,Rocky Mountain Athletic Conference,University of Colorado Colorado Springs,True,True
Division II,Great Midwest Athletic Conference,University of Findlay,True,True
Division II,Pacific West Conference,University of Hawaii at Hilo,True,True
Division II,Great Lakes Valley Conference,University of Illinois Springfield,True,True
Division II,Great Lakes Valley Conference,University of Indianapolis,True,True
Division II,Northern Sun Intercollegiate Conference,University of Jamestown,True,True
Division II,Northern Sun Intercollegiate Conference,University of Mary,False,True
Division II,Northern Sun Intercollegiate Conference,University of Minnesota Duluth,False,True
Division II,Northern Sun Intercollegiate Conference,"University of Minnesota, Crookston",False,True
Division II,Great Lakes Valley Conference,University of Missouri-St. Louis,True,True
Division II,Gulf South Conference,University of Montevallo,True,True
Division II,Conference Carolinas,University of Mount Olive,True,True
Division II,Mid-America Intercollegiate Athletics Association,University of Nebraska at Kearney,False,True
Division II,Northeast Conference,University of New Haven,True,True
Division II,Conference Carolinas,University of North Carolina at Pembroke,False,True
Division II,Peach Belt Conference,University of North Georgia,True,True
Division II,Pennsylvania State Athletic Conference,"University of Pittsburgh, Johnstown",True,True
Division II,Independent,"University of Puerto Rico, Bayamon",True,True
Division II,Northern Sun Intercollegiate Conference,University of Sioux Falls,False,True
Division II,Peach Belt Conference,University of South Carolina Aiken,True,True
Division II,Peach Belt Conference,University of South Carolina Beaufort,False,True
Division II,Sunshine State Conference,University of Tampa,True,True
Division II,Gulf South Conference,University of West Alabama,True,True
Division II,Gulf South Conference,University of West Florida,True,True
Division II,Atlantic Sun Conference,University of West Georgia,False,True
Division II,Great Lakes Intercollegiate Athletic Conference,University of Wisconsin-Parkside,True,True
Division II,East Coast Conference,University of the District of Columbia,True,False
Division II,Great Lakes Valley Conference,Upper Iowa University,True,True
Division II,Great Midwest Athletic Conference,Ursuline College,False,True
Division II,Gulf South Conference,Valdosta State University,False,True
Division II,Pacific West Conference,Vanguard University ,True,True
Division II,Central Intercollegiate Athletic Association,Virginia State University,True,True
Division II,Great Midwest Athletic Conference,Walsh University,True,True
Division II,Mid-America Intercollegiate Athletics Association,Washburn University,False,True
Division II,Northern Sun Intercollegiate Conference,Wayne State College (Nebraska),False,True
Division II,Pennsylvania State Athletic Conference,West Chester University of Pennsylvania,True,True
Division II,Mountain East Conference,West Liberty University,True,True
Division II,Lone Star Conference,West Texas A&M University,True,True
Division II,Mountain East Conference,West Virginia State University,False,True
Division II,Mountain East Conference,West Virginia Wesleyan College,True,True
Division II,Rocky Mountain Athletic Conference,Western Colorado University,False,True
Division II,Great Northwest Athletic Conference,Western Oregon University,True,True
Division II,Great Northwest Athletic Conference,Western Washington University,True,True
Division II,Rocky Mountain Athletic Conference,Westminster University (Utah),True,True
Division II,Pacific West Conference,Westmont College,True,True
Division II,Mountain East Conference,Wheeling University,True,True
Division II,Great Lakes Valley Conference,William Jewell College,True,True
Division II,Central Atlantic Collegiate Conference,Wilmington University (Delaware),True,True
Division II,South Atlantic Conference,Wingate University,True,True
Division II,Northern Sun Intercollegiate Conference,Winona State University,False,True
Division II,Conference Carolinas,Young Harris College,True,True
Division III,Michigan Intercollegiate Athletic Association,Adrian College,True,True
Division III,Collegiate Conference of the South,Agnes Scott College,False,True
Division III,Great Northeast Athletic Conference,Albertus Magnus College,True,True
Division III,Michigan Intercollegiate Athletic Association,Albion College,True,True
Division III,Middle Atlantic Conferences,Albright College,True,True
Division III,Allegheny Mountain Collegiate Conference,Alfred State College,True,True
Division III,Empire 8,Alfred University,True,True
Division III,Presidents' Athletic Conference,Allegheny College,True,True
Division III,Michigan Intercollegiate Athletic Association,Alma College,True,True
Division III,Middle Atlantic Conferences,Alvernia University,True,True
Division III,Northern Athletics Collegiate Conference,Alverno College,False,True
Division III,New England Small College Athletic Conference,Amherst College,True,True
Division III,Heartland Collegiate Athletic Conference,Anderson University (Indiana),True,True
Division III,Massachusetts State Collegiate Athletic Conference,Anna Maria College,True,True
Division III,Middle Atlantic Conferences,Arcadia University,True,True
Division III,Collegiate Conference of the South,Asbury University,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Augsburg University,True,True
Division III,College Conference of Illinois & Wisconsin,Augustana College (Illinois),True,True
Division III,Northern Athletics Collegiate Conference,Aurora University,True,True
Division III,Southern Collegiate Athletic Conference,Austin College,True,True
Division III,Old Dominion Athletic Conf.,Averett University,True,True
Division III,New England Women's and Men's Athletic Conference,Babson College,True,True
Division III,Ohio Athletic Conference,Baldwin Wallace University,True,True
Division III,Liberty League,Bard College,True,True
Division III,City University of New York Athletic Conference,Baruch College,True,False
Division III,New England Small College Athletic Conference,Bates College,True,True
Division III,Collegiate Conference of the South,Belhaven University,True,True
Division III,Midwest Conference,Beloit College,True,True
Division III,Northern Athletics Collegiate Conference,Benedictine University (Illinois),True,True
Division III,Heartland Collegiate Athletic Conference,Berea College,True,True
Division III,Southern Athletic Association,Berry College,True,True
Division III,Presidents' Athletic Conference,Bethany College (West Virginia),True,True
Division III,Upper Midwest Athletic Conference,Bethany Lutheran College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Bethel University (Minnesota),True,True
Division III,St. Louis Intercollegiate Athletic Conference,Blackburn College,True,True
Division III,Heartland Collegiate Athletic Conference,Bluffton University,True,True
Division III,New England Small College Athletic Conference,Bowdoin College,True,True
Division III,University Athletic Association,Brandeis University,True,True
Division III,USA South Athletic Conference,Brevard College,True,True
Division III,Old Dominion Athletic Conf.,Bridgewater College (Virginia),True,True
Division III,Massachusetts State Collegiate Athletic Conference,Bridgewater State University,True,True
Division III,City University of New York Athletic Conference,Brooklyn College,True,True
Division III,Centennial Conference,Bryn Mawr College,False,True
Division III,American Rivers Conference,Buena Vista University,True,True
Division III,State University of New York Athletic Conference,"Buffalo State, State University of New York",True,True
Division III,United East Conference,Cairn University,True,True
Division III,Southern California Intercollegiate Athletic Conf.,California Institute of Technology,True,True
Division III,Southern California Intercollegiate Athletic Conf.,California Lutheran University,True,True
Division III,Michigan Intercollegiate Athletic Association,Calvin University,True,True
Division III,Ohio Athletic Conference,Capital University,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Carleton College,True,True
Division III,Allegheny Mountain Collegiate Conference,Carlow University,True,True
Division III,University Athletic Association,Carnegie Mellon University,True,True
Division III,College Conference of Illinois & Wisconsin,Carroll University (Wisconsin),True,True
Division III,College Conference of Illinois & Wisconsin,Carthage College,True,True
Division III,University Athletic Association,Case Western Reserve University,True,True
Division III,Landmark Conference,Catholic University,True,True
Division III,United East Conference,Cedar Crest College,False,True
Division III,Southern Collegiate Athletic Conference,Centenary College (Louisiana),True,True
Division III,Atlantic East Conference,Centenary University (New Jersey),True,True
Division III,American Rivers Conference,Central College (Iowa),True,True
Division III,Southern Athletic Association,Centre College,True,True
Division III,Southern California Intercollegiate Athletic Conf.,Chapman University,True,True
Division III,Presidents' Athletic Conference,Chatham University,True,True
Division III,Coast-To-Coast Athletic Conference,Christopher Newport University,True,True
Division III,Southern California Intercollegiate Athletic Conf.,Claremont McKenna-Harvey Mudd-Scripps Colleges,True,True
Division III,New England Women's and Men's Athletic Conference,Clark University (Massachusetts),True,True
Division III,Liberty League,Clarkson University,True,True
Division III,American Rivers Conference,Coe College,True,True
Division III,New England Small College Athletic Conference,Colby College,True,True
Division III,Great Northeast Athletic Conference,Colby-Sawyer College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,College of Saint Benedict,False,True
Division III,Southern Collegiate Athletic Conference,Colorado College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,"Concordia College, Moorhead",True,True
Division III,Northern Athletics Collegiate Conference,Concordia University Chicago,True,True
Division III,Southern Collegiate Athletic Conference,Concordia University Texas,True,True
Division III,Northern Athletics Collegiate Conference,Concordia University Wisconsin,True,True
Division III,New England Small College Athletic Conference,Connecticut College,True,True
Division III,Midwest Conference,Cornell College,True,True
Division III,Collegiate Conference of the South,Covenant College,True,True
Division III,Upper Midwest Athletic Conference,Crown College (Minnesota),True,True
Division III,Conference of New England,Curry College,True,True
Division III,North Coast Athletic Conference,DePauw University,True,True
Division III,Middle Atlantic Conferences,DeSales University,True,True
Division III,Great Northeast Athletic Conference,Dean College,True,True
Division III,Middle Atlantic Conferences,Delaware Valley University,True,True
Division III,North Coast Athletic Conference,Denison University,True,True
Division III,Centennial Conference,Dickinson College,True,True
Division III,Northern Athletics Collegiate Conference,Dominican University (Illinois),True,True
Division III,Landmark Conference,Drew University,True,True
Division III,Heartland Collegiate Athletic Conference,Earlham College,True,True
Division III,American Southwest Conference,East Texas Baptist University,True,True
Division III,Little East Conference,Eastern Connecticut State University,True,True
Division III,Old Dominion Athletic Conf.,Eastern Mennonite University,True,True
Division III,Middle Atlantic Conferences,Eastern University,True,True
Division III,Northern Athletics Collegiate Conference,Edgewood University,True,True
Division III,Landmark Conference,Elizabethtown College,True,True
Division III,College Conference of Illinois & Wisconsin,Elmhurst University,True,True
Division III,Empire 8,Elmira College,True,True
Division III,Great Northeast Athletic Conference,Elms College,True,True
Division III,New England Women's and Men's Athletic Conference,Emerson College,True,True
Division III,Great Northeast Athletic Conference,Emmanuel College (Massachusetts),True,True
Division III,University Athletic Association,Emory University,True,True
Division III,Conference of New England,Endicott College,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Eureka College,True,True
Division III,Middle Atlantic Conferences,"Fairleigh Dickinson University, Florham",True,True
Division III,Skyline Conference,Farmingdale State College,True,True
Division III,Conference Carolinas,Ferrum College,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Fitchburg State University,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Framingham State University,True,True
Division III,Presidents' Athletic Conference,Franciscan University of Steubenville,True,True
Division III,Centennial Conference,Franklin & Marshall College,True,True
Division III,Heartland Collegiate Athletic Conference,Franklin College,True,True
Division III,United East Conference,Gallaudet University,True,False
Division III,Presidents' Athletic Conference,Geneva College,True,True
Division III,Northwest Conference,George Fox University,True,True
Division III,Centennial Conference,Gettysburg College,True,True
Division III,Conference of New England,Gordon College,True,True
Division III,Landmark Conference,Goucher College,True,True
Division III,USA South Athletic Conference,Greensboro College,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Greenville University,True,True
Division III,Midwest Conference,Grinnell College,True,True
Division III,Presidents' Athletic Conference,Grove City College,True,True
Division III,Old Dominion Athletic Conf.,Guilford College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Gustavus Adolphus College,True,True
Division III,Atlantic East Conference,Gwynedd Mercy University,True,True
Division III,New England Small College Athletic Conference,Hamilton College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Hamline University,True,True
Division III,Old Dominion Athletic Conf.,Hampden-Sydney College,True,False
Division III,Heartland Collegiate Athletic Conference,Hanover College,True,True
Division III,American Southwest Conference,Hardin-Simmons University,True,True
Division III,Empire 8,Hartwick College,True,True
Division III,Centennial Conference,Haverford College,True,True
Division III,Ohio Athletic Conference,Heidelberg University,True,True
Division III,Southern Collegiate Athletic Conference,Hendrix College,True,True
Division III,Allegheny Mountain Collegiate Conference,Hilbert College,True,True
Division III,Presidents' Athletic Conference,Hiram College,True,True
Division III,Liberty League,Hobart and William Smith Colleges,True,True
Division III,Old Dominion Athletic Conf.,Hollins University,False,True
Division III,Middle Atlantic Conferences,Hood College,True,True
Division III,Michigan Intercollegiate Athletic Association,Hope College,True,True
Division III,Empire 8,Houghton University,True,True
Division III,American Southwest Conference,Howard Payne University,True,True
Division III,City University of New York Athletic Conference,Hunter College,True,False
Division III,Collegiate Conference of the South,Huntingdon College,True,True
Division III,North Atlantic Conference,Husson University,True,True
Division III,Midwest Conference,Illinois College,True,True
Division III,Northern Athletics Collegiate Conference,Illinois Institute of Technology,True,True
Division III,College Conference of Illinois & Wisconsin,Illinois Wesleyan University,True,True
Division III,Atlantic East Conference,Immaculata University,True,True
Division III,Liberty League,Ithaca College,True,True
Division III,North Coast Athletic Conference,John Carroll University,True,True
Division III,City University of New York Athletic Conference,John Jay College of Criminal Justice,True,True
Division III,Centennial Conference,Johns Hopkins University,True,True
Division III,Conference of New England,Johnson & Wales University (Providence),True,True
Division III,Coast-To-Coast Athletic Conference,Johnson & Wales University Charlotte,True,True
Division III,Landmark Conference,Juniata College,True,True
Division III,Michigan Intercollegiate Athletic Association,Kalamazoo College,True,True
Division III,New Jersey Athletic Conference,Kean University,True,True
Division III,Little East Conference,Keene State College,True,True
Division III,North Coast Athletic Conference,Kenyon College,True,True
Division III,Empire 8,Keuka College,True,True
Division III,United East Conference,Keystone College,True,True
Division III,Middle Atlantic Conferences,King's College (Pennsylvania),True,True
Division III,Midwest Conference,Knox College,True,True
Division III,Allegheny Mountain Collegiate Conference,La Roche University,True,True
Division III,Collegiate Conference of the South,LaGrange College,True,True
Division III,Midwest Conference,Lake Forest College,True,True
Division III,Northern Athletics Collegiate Conference,Lakeland University,True,True
Division III,United East Conference,Lancaster Bible College,True,True
Division III,Great Northeast Athletic Conference,Lasell University,True,True
Division III,Midwest Conference,Lawrence University,True,True
Division III,Southern Collegiate Athletic Conference,LeTourneau University,True,True
Division III,Middle Atlantic Conferences,Lebanon Valley College,True,True
Division III,City University of New York Athletic Conference,Lehman College,True,True
Division III,North Atlantic Conference,Lesley University,True,True
Division III,Northwest Conference,Lewis & Clark College,True,True
Division III,Northwest Conference,Linfield University,True,True
Division III,American Rivers Conference,Loras College,True,True
Division III,American Rivers Conference,Luther College,True,True
Division III,Landmark Conference,Lycoming College,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Lyon College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Macalester College,True,True
Division III,North Atlantic Conference,Maine Maritime Academy,True,True
Division III,Heartland Collegiate Athletic Conference,Manchester University,True,True
Division III,Skyline Conference,Manhattanville University,True,True
Division III,Independent,Maranatha Baptist University,True,True
Division III,Northern Athletics Collegiate Conference,Marian University (Wisconsin),True,True
Division III,Ohio Athletic Conference,Marietta College,True,True
Division III,Upper Midwest Athletic Conference,Martin Luther College,True,True
Division III,USA South Athletic Conference,Mary Baldwin University,True,True
Division III,Atlantic East Conference,Marymount University (Virginia),True,True
Division III,Collegiate Conference of the South,Maryville College (Tennessee),True,True
Division III,Atlantic East Conference,Marywood University,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts College of Liberal Arts,True,True
Division III,New England Women's and Men's Athletic Conference,Massachusetts Institute of Technology,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Massachusetts Maritime Academy,True,True
Division III,Centennial Conference,McDaniel College,True,True
Division III,Southern Collegiate Athletic Conference,McMurry University,True,True
Division III,City University of New York Athletic Conference,Medgar Evers College,True,True
Division III,USA South Athletic Conference,Meredith College,False,True
Division III,Middle Atlantic Conferences,Messiah University,True,True
Division III,USA South Athletic Conference,Methodist University,True,True
Division III,New England Small College Athletic Conference,Middlebury College,True,True
Division III,College Conference of Illinois & Wisconsin,Millikin University,True,True
Division III,Southern Athletic Association,Millsaps College,True,True
Division III,Northern Athletics Collegiate Conference,Milwaukee School of Engineering,True,True
Division III,Middle Atlantic Conferences,Misericordia University,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Mississippi University for Women,True,True
Division III,Great Northeast Athletic Conference,Mitchell College,True,True
Division III,Midwest Conference,Monmouth College (Illinois),True,True
Division III,New Jersey Athletic Conference,Montclair State University,True,True
Division III,Landmark Conference,Moravian University,True,True
Division III,Allegheny Mountain Collegiate Conference,Mount Aloysius College,True,True
Division III,New England Women's and Men's Athletic Conference,Mount Holyoke College,False,True
Division III,Skyline Conference,Mount Saint Mary College (New York),True,True
Division III,Heartland Collegiate Athletic Conference,Mount St. Joseph University,True,True
Division III,Centennial Conference,Muhlenberg College,True,True
Division III,Ohio Athletic Conference,Muskingum University,True,True
Division III,Empire 8,Nazareth University,True,True
Division III,American Rivers Conference,Nebraska Wesleyan University,True,True
Division III,Atlantic East Conference,Neumann University,True,True
Division III,Great Northeast Athletic Conference,New England College,True,True
Division III,New Jersey Athletic Conference,New Jersey City University,True,True
Division III,University Athletic Association,New York University,True,True
Division III,Conference of New England,Nichols College,True,True
Division III,USA South Athletic Conference,North Carolina Wesleyan University,True,True
Division III,College Conference of Illinois & Wisconsin,North Central College,True,True
Division III,Upper Midwest Athletic Conference,North Central University,True,True
Division III,College Conference of Illinois & Wisconsin,North Park University,True,True
Division III,Great Northeast Athletic Conference,Norwich University,True,True
Division III,United East Conference,Notre Dame of Maryland University,True,True
Division III,North Coast Athletic Conference,Oberlin College,True,True
Division III,Southern California Intercollegiate Athletic Conf.,Occidental College,True,True
Division III,Southern Athletic Association,Oglethorpe University,True,True
Division III,Ohio Athletic Conference,Ohio Northern University,True,True
Division III,North Coast Athletic Conference,Ohio Wesleyan University,True,True
Division III,Ohio Athletic Conference,Otterbein University,True,True
Division III,Northwest Conference,Pacific Lutheran University,True,True
Division III,Northwest Conference,Pacific University (Oregon),True,True
Division III,United East Conference,Penn State Berks College,True,True
Division III,United East Conference,Penn State Brandywine,True,True
Division III,United East Conference,Penn State Harrisburg,True,True
Division III,United East Conference,"Penn State University, Abington",True,True
Division III,Allegheny Mountain Collegiate Conference,"Penn State University, Altoona",True,True
Division III,United East Conference,Pennsylvania College of Technology,True,True
Division III,Allegheny Mountain Collegiate Conference,"Pennsylvania State Univ. Erie, the Behrend College",True,True
Division III,USA South Athletic Conference,Pfeiffer University,True,True
Division III,Collegiate Conference of the South,Piedmont University,True,True
Division III,State University of New York Athletic Conference,Plattsburgh State University of New York,True,True
Division III,Little East Conference,Plymouth State University,True,True
Division III,Southern California Intercollegiate Athletic Conf.,Pomona-Pitzer Colleges,True,True
Division III,Atlantic East Conference,Pratt Institute,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Principia College,True,True
Division III,Skyline Conference,"Purchase College, State University of New York",True,True
Division III,New Jersey Athletic Conference,Ramapo College,True,True
Division III,Old Dominion Athletic Conf.,Randolph College,True,True
Division III,Old Dominion Athletic Conf.,Randolph-Macon College,True,True
Division III,Coast-To-Coast Athletic Conference,Regent University,True,True
Division III,Great Northeast Athletic Conference,Regis College (Massachusetts),True,True
Division III,Liberty League,Rensselaer Polytechnic Institute,True,True
Division III,Little East Conference,Rhode Island College,True,True
Division III,Southern Athletic Association,Rhodes College,True,True
Division III,Midwest Conference,Ripon College,True,True
Division III,Great Northeast Athletic Conference,Rivier University,True,True
Division III,Old Dominion Athletic Conf.,Roanoke College,True,True
Division III,Liberty League,Rochester Institute of Technology,True,True
Division III,Northern Athletics Collegiate Conference,Rockford University,True,True
Division III,Conference of New England,Roger Williams University,True,True
Division III,Heartland Collegiate Athletic Conference,Rose-Hulman Institute of Technology,True,True
Division III,Independent,Rosemont College,True,True
Division III,New Jersey Athletic Conference,Rowan University,True,True
Division III,Empire 8,Russell Sage College,True,True
Division III,New Jersey Athletic Conference,"Rutgers, The State Univ. of New Jersey, Camden",True,True
Division III,New Jersey Athletic Conference,"Rutgers, The State Univ. of New Jersey, Newark",True,True
Division III,Atlantic East Conference,Saint Elizabeth University,True,True
Division III,Minnesota Intercollegiate Athletic Conference,Saint John's University (Minnesota),True,False
Division III,Great Northeast Athletic Conference,Saint Joseph's College (Maine),True,True
Division III,Michigan Intercollegiate Athletic Association,Saint Mary's College (Indiana),False,True
Division III,Minnesota Intercollegiate Athletic Conference,Saint Mary's University of Minnesota,True,True
Division III,Presidents' Athletic Conference,Saint Vincent College,True,True
Division III,USA South Athletic Conference,Salem College (North Carolina),False,True
Division III,Massachusetts State Collegiate Athletic Conference,Salem State University,True,True
Division III,Coast-To-Coast Athletic Conference,Salisbury University,True,True
Division III,New England Women's and Men's Athletic Conference,Salve Regina University,True,True
Division III,Skyline Conference,Sarah Lawrence College,True,True
Division III,Southern Collegiate Athletic Conference,Schreiner University,True,True
Division III,Old Dominion Athletic Conf.,Shenandoah University,True,True
Division III,Great Northeast Athletic Conference,Simmons University,False,True
Division III,American Rivers Conference,Simpson College,True,True
Division III,Liberty League,Skidmore College,True,True
Division III,New England Women's and Men's Athletic Conference,Smith College,False,True
Division III,USA South Athletic Conference,Southern Virginia University,True,True
Division III,Southern Athletic Association,Southwestern University (Texas),True,True
Division III,St. Louis Intercollegiate Athletic Conference,Spalding University,True,True
Division III,New England Women's and Men's Athletic Conference,Springfield College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,St. Catherine University,False,True
Division III,Empire 8,St. John Fisher University,True,True
Division III,Skyline Conference,St. Joseph's University NY (Brooklyn),True,True
Division III,Skyline Conference,"St. Joseph's University, New York L.I.",True,True
Division III,Liberty League,St. Lawrence University,True,True
Division III,United East Conference,St. Mary's College of Maryland,True,True
Division III,Northern Athletics Collegiate Conference,St. Norbert College,True,True
Division III,Minnesota Intercollegiate Athletic Conference,St. Olaf College,True,True
Division III,Skyline Conference,State University of New York Maritime College,True,True
Division III,Empire 8,State University of New York Polytechnic Institute,True,True
Division III,Empire 8,State University of New York at Brockport,True,True
Division III,State University of New York Athletic Conference,State University of New York at Canton,True,True
Division III,North Atlantic Conference,State University of New York at Cobleskill,True,True
Division III,State University of New York Athletic Conference,State University of New York at Cortland,True,True
Division III,North Atlantic Conference,State University of New York at Delhi,True,True
Division III,Empire 8,State University of New York at Geneseo,True,True
Division III,State University of New York Athletic Conference,State University of New York at Morrisville,True,True
Division III,State University of New York Athletic Conference,State University of New York at New Paltz,True,True
Division III,Skyline Conference,State University of New York at Old Westbury,True,True
Division III,State University of New York Athletic Conference,State University of New York at Oneonta,True,True
Division III,State University of New York Athletic Conference,State University of New York at Oswego,True,True
Division III,State University of New York Athletic Conference,State University of New York at Potsdam,True,True
Division III,Middle Atlantic Conferences,Stevens Institute of Technology,True,True
Division III,Middle Atlantic Conferences,Stevenson University,True,True
Division III,New Jersey Athletic Conference,Stockton University,True,True
Division III,Conference of New England,Suffolk University,True,True
Division III,Lone Star Conference,Sul Ross State University,True,True
Division III,Landmark Conference,Susquehanna University,True,True
Division III,Centennial Conference,Swarthmore College,True,True
Division III,Old Dominion Athletic Conf.,Sweet Briar College,False,True
Division III,Southern Collegiate Athletic Conference,Texas Lutheran University,True,True
Division III,City University of New York Athletic Conference,The City College of New York,True,True
Division III,New Jersey Athletic Conference,The College of New Jersey,True,True
Division III,Minnesota Intercollegiate Athletic Conference,The College of St. Scholastica,True,True
Division III,North Coast Athletic Conference,The College of Wooster,True,True
Division III,State University of New York Athletic Conference,The State University of New York at Fredonia,True,True
Division III,Michigan Intercollegiate Athletic Association,The University of Olivet ,True,True
Division III,Presidents' Athletic Conference,Thiel College,True,True
Division III,North Atlantic Conference,Thomas College,True,True
Division III,Heartland Collegiate Athletic Conference,Transylvania University,True,True
Division III,Michigan Intercollegiate Athletic Association,Trine University,True,True
Division III,New England Small College Athletic Conference,Trinity College (Connecticut),True,True
Division III,Southern Athletic Association,Trinity University (Texas),True,True
Division III,Independent,Trinity Washington University,False,True
Division III,New England Small College Athletic Conference,Tufts University,True,True
Division III,New England Women's and Men's Athletic Conference,U.S. Coast Guard Academy,True,True
Division III,Skyline Conference,U.S. Merchant Marine Academy,True,True
Division III,Liberty League,Union College (New York),True,True
Division III,Coast-To-Coast Athletic Conference,"University of California, Santa Cruz",True,True
Division III,University Athletic Association,University of Chicago,True,True
Division III,Southern Collegiate Athletic Conference,University of Dallas,True,True
Division III,American Rivers Conference,University of Dubuque,True,True
Division III,Conference of New England,University of Hartford,True,True
Division III,Southern California Intercollegiate Athletic Conf.,University of La Verne,True,True
Division III,Old Dominion Athletic Conf.,University of Lynchburg,True,True
Division III,North Atlantic Conference,University of Maine at Presque Isle,True,True
Division III,North Atlantic Conference,"University of Maine, Farmington",True,True
Division III,American Southwest Conference,University of Mary Hardin-Baylor,True,True
Division III,Coast-To-Coast Athletic Conference,University of Mary Washington,True,True
Division III,Little East Conference,University of Massachusetts Boston,True,True
Division III,Little East Conference,"University of Massachusetts, Dartmouth",True,True
Division III,Upper Midwest Athletic Conference,"University of Minnesota, Morris",True,True
Division III,Skyline Conference,University of Mount Saint Vincent,True,True
Division III,Ohio Athletic Conference,University of Mount Union,True,True
Division III,Conference of New England,University of New England,True,True
Division III,Upper Midwest Athletic Conference,University of Northwestern-St. Paul,True,True
Division III,Allegheny Mountain Collegiate Conference,"University of Pittsburgh, Bradford",True,True
Division III,Allegheny Mountain Collegiate Conference,"University of Pittsburgh, Greensburg",True,True
Division III,Northwest Conference,University of Puget Sound,True,True
Division III,Southern California Intercollegiate Athletic Conf.,University of Redlands,True,True
Division III,University Athletic Association,University of Rochester,True,True
Division III,Great Northeast Athletic Conference,University of Saint Joseph (Connecticut),True,True
Division III,Landmark Conference,University of Scranton,True,True
Division III,Little East Conference,University of Southern Maine,True,True
Division III,Southern Collegiate Athletic Conference,University of St. Thomas (Texas),True,True
Division III,Lone Star Conference,University of Texas at Dallas,True,True
Division III,United East Conference,University of Valley Forge,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Eau Claire,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-La Crosse,False,True
